rownum,Sum_of_scores
   456,198.2
   457,230.1
   458,228.1
   459,205.0
   460,190.8
   461,215.6
   462,216.8
   463,169.2
   464,188.2
   465,214.5
   466,207.6
   467,203.0
   468,213.9
   469,194.8
   470,227.0
   471,219.6
   472,174.0
   473,197.2
   474,217.1
   475,185.9
   476,176.3
   477,208.0
   478,191.8
   479,185.8
   480,186.0
   481,175.4
   482,210.8
   483,224.6
   484,174.1
   485,186.8
   486,177.1
   487,208.5
   488,178.0
   489,197.9
   490,213.9
   491,237.8
   492,169.2
   493,183.5
   494,210.2
   495,193.2
   496,191.8
   497,192.8
   498,208.6
   499,181.2
   500,188.1
   501,186.5
   502,137.2
   503,204.0
   504,172.0
   505,172.6
   506,179.1
   507,158.0
   508,181.5
   509,191.3
   510,167.1
   511,141.0
   512,183.0
   513,182.1
   514,208.7
   515,195.2
   516,177.3
   517,183.5
   518,169.9
   519,163.0
   520,160.5
   521,162.8
   522,196.6
   523,122.0
   524,145.4
   525,166.7
   526,181.3
   527,174.5
   528,183.6
   529,173.5
   530,163.0
   531,138.6
   532,188.8
   533,177.1
   534,154.9
   535,207.2
   536,169.6
   537,196.1
   538,153.1
   539,171.9
   540,183.7
   541,169.2
   542,179.7
   543,158.7
   544,148.0
   545,166.5
   546,132.4
   547,181.0
   548,147.2
   549,153.6
   550,225.3
   551,179.8
   552,180.0
   553,170.0
   554,149.8
   555,204.4
   556,214.4
   557,158.4
   558,197.1
   559,183.9
   560,197.1
   561,175.2
   562,201.5
   563,195.4
   564,183.9
   565,180.9
   566,162.9
   567,152.0
   568,207.4
   569,172.3
   570,164.9
   571,139.9
   572,198.4
   573,192.8
   574,179.8
   575,162.0
   576,174.5
   577,167.7
   578,188.0
   579,163.3
   580,180.3
   581,152.2
   582,153.5
   583,171.7
   584,217.9
   585,149.6
   586,212.2
   587,147.8
   588,157.7
   589,170.4
   590,185.1
   591,191.0
   592,198.8
   593,194.7
   594,153.7
   595,165.0
   596,176.7
   597,183.2
   598,165.6
   599,201.7
   600,154.1
   601,197.3
   602,173.2
   603,175.6
   604,149.3
   605,133.0
   606,169.1
   607,137.9
   608,118.1
   609,180.8
   610,133.4
   611,129.6
   612,160.4
   613,162.7
   614,143.2
   615,163.9
   616,156.7
   617,168.3
   618,155.6
   619,135.1
   620,128.9
   621,125.4
   622,174.6
   623,139.0
   624,130.8
   625,149.6
   626,95.1
   627,115.9
   628,174.7
   629,169.1
   630,172.5
   631,123.0
   632,156.9
   633,166.3
   634,161.3
   635,118.7
   636,207.0
   637,164.0
   638,115.2
   639,149.9
   640,165.3
   641,143.1
   642,164.0
   643,168.6
   644,204.2
   645,171.4
   646,144.7
   647,190.6
   648,199.9
   649,107.2
   650,144.2
   651,174.3
   652,108.3
   653,142.6
   654,151.1
   655,122.2
   656,148.0
   657,138.1
   658,143.5
   659,158.4
   660,152.2
   661,137.9
   662,187.3
   663,133.9
   664,162.6
   665,144.3
   666,142.1
   667,178.9
   668,176.2
   669,147.2
   670,96.3
   671,152.9
   672,145.7
   673,134.2
   674,157.5
   675,154.7
   676,132.3
   677,144.2
   678,119.9
   679,134.5
   680,159.7
   681,154.5
   682,194.4
   683,151.4
   684,171.9
   685,169.9
   686,128.6
   687,134.4
   688,107.6
   689,141.4
   690,149.9
   691,168.6
   692,154.2
   693,115.6
   694,128.4
   695,114.8
   696,200.3
   697,176.0
   698,211.3
   699,126.7
   700,141.4
   701,115.3
   702,126.7
   703,160.3
   704,153.3
   705,129.1
   706,156.9
   707,169.5
   708,123.7
   709,184.0
   710,183.8
   711,133.4
   712,163.3
   713,130.7
   714,179.2
   715,100.6
   716,119.0
   717,76.3
   718,99.6
   719,157.4
   720,137.5
   721,135.0
   722,179.2
   723,123.8
   724,171.9
   725,162.5
   726,115.4
   727,115.8
   728,134.0
   729,155.0
   730,151.2
   731,179.4
   732,130.6
   733,175.9
   734,114.5
   735,112.8
   736,123.7
   737,157.5
   738,142.4
   739,119.6
   740,119.8
   741,128.2
   742,171.1
   743,129.7
   744,141.1
   745,136.0
   746,154.6
   747,126.5
   748,165.1
   749,162.5
   750,137.2
   751,129.9
   752,143.6
   753,97.6
   754,152.8
   755,158.8
   756,179.5
   757,128.6
   758,170.2
   759,162.3
   760,113.8
   761,138.4
   762,181.7
   763,151.9
   764,175.3
   765,127.0
   766,80.0
   767,158.3
   768,130.7
   769,164.6
   770,153.9
   771,121.7
   772,176.1
   773,132.7
   774,177.1
   775,139.6
   776,178.8
   777,163.3
   778,189.6
   779,130.2
   780,149.8
   781,176.0
   782,122.3
   783,132.9
   784,146.9
   785,123.3
   786,190.0
   787,147.4
   788,161.6
   789,124.5
   790,163.6
   791,137.0
   792,143.4
   793,134.5
   794,191.7
   795,166.9
   796,117.4
   797,106.9
   798,182.1
   799,106.8
   800,131.4
   801,119.2
   802,159.4
   803,110.5
   804,139.4
   805,187.4
   806,158.5
   807,128.7
   808,98.6
   809,102.2
   810,113.0
   811,106.8
   812,106.4
   813,82.2
   814,96.1
   815,95.1
   816,91.0
   817,99.1
   818,97.8
   819,114.5
   820,122.5
   821,65.6
   822,118.8
   823,150.6
   824,107.4
   825,120.8
   826,107.9
   827,74.0
   828,94.9
   829,85.5
   830,107.2
   831,90.8
   832,112.4
   833,90.0
   834,91.9
   835,92.3
   836,112.6
   837,97.7
   838,121.2
   839,78.2
   840,129.9
   841,102.4
   842,72.0
   843,83.1
   844,92.2
   845,83.1
   846,107.7
   847,116.7
   848,111.7
   849,84.7
   850,86.0
   851,137.7
   852,81.4
   853,115.5
   854,116.3
   855,97.9
   856,134.9
   857,84.0
   858,91.8
   859,119.2
   860,112.0
   861,136.0
   862,123.8
   863,134.8
   864,125.1
   865,143.8
   866,91.6
   867,87.5
   868,89.5
   869,67.9
   870,106.3
   871,124.3
   872,108.6
   873,104.6
   874,76.4
   875,96.4
   876,97.4
   877,98.3
   878,90.0
   879,98.7
   880,87.7
   881,78.3
   882,106.9
   883,133.0
   884,95.3
   885,99.1
   886,84.6
   887,114.8
   888,86.8
   889,90.3
   890,112.7
   891,97.4
   892,101.1
   893,75.1
   894,94.9
   895,111.6
   896,111.6
   897,114.6
   898,111.8
   899,98.5
   900,131.3
   901,107.4
   902,108.5
   903,63.7
   904,93.8
   905,111.0
   906,84.3
   907,99.2
   908,124.5
   909,109.0
   910,124.4
